wavelength_angstrom,flux_erg_s_cm2_angstrom,error
1.663479e+03,4.318893e-14,1.484924e-14
1.664849e+03,4.587810e-14,1.382559e-14
1.666220e+03,4.362102e-14,1.336072e-14
1.667590e+03,3.818700e-14,1.253940e-14
1.668960e+03,3.390818e-14,1.212058e-14
1.670331e+03,1.708533e-14,1.234876e-14
1.671701e+03,3.618224e-14,1.143716e-14
1.673072e+03,3.314281e-14,1.159682e-14
1.674442e+03,4.802808e-14,1.343549e-14
1.675813e+03,9.357440e-15,1.061510e-14
1.677183e+03,4.479928e-14,1.059836e-14
1.678554e+03,4.440611e-14,1.022617e-14
1.679924e+03,2.246272e-14,9.877492e-15
1.681295e+03,4.522951e-14,9.409027e-15
1.682665e+03,1.996156e-15,9.680508e-15
1.684036e+03,2.207923e-14,1.111055e-14
1.685407e+03,5.526005e-14,1.308898e-14
1.686777e+03,1.609760e-13,1.977800e-14
1.688148e+03,3.406349e-14,1.085463e-14
1.689518e+03,2.022939e-14,7.408018e-15
1.690889e+03,2.296561e-14,7.383187e-15
1.692260e+03,2.630427e-14,8.933327e-15
1.693630e+03,1.038000e-14,7.363860e-15
1.695001e+03,1.266023e-14,6.571118e-15
1.696372e+03,2.936765e-14,6.881049e-15
1.697743e+03,2.748166e-14,7.430361e-15
1.699113e+03,2.537533e-14,7.712277e-15
1.700484e+03,2.103517e-14,6.176051e-15
1.701855e+03,2.463033e-14,6.428738e-15
1.703226e+03,2.300573e-14,6.060518e-15
1.704596e+03,1.947297e-14,5.958992e-15
1.705967e+03,2.981426e-14,6.008192e-15
1.707338e+03,2.403828e-14,5.688927e-15
1.708709e+03,2.411464e-14,5.668629e-15
1.710080e+03,1.432211e-14,5.630940e-15
1.711450e+03,2.190201e-14,7.978752e-15
1.712821e+03,2.150444e-14,6.104048e-15
1.714192e+03,1.747877e-14,5.447484e-15
1.715563e+03,1.162628e-14,5.552553e-15
1.716934e+03,2.809390e-14,5.587650e-15
1.718305e+03,1.534047e-14,5.391444e-15
1.719676e+03,1.951929e-14,5.013563e-15
1.721047e+03,2.490692e-14,5.161391e-15
